Case,SA?,RB?,Period,Fleet Size,Capacity,Dmd Rate,Service Rate,reqs served,of total reqs,wait time,inveh time,service dist,service time,service pct,rebl dist,rebl time,rebl pct,
BAL5,no,dqn,10800,20,4,100,100,323,323,153.6289378,431.8638343,44689.54758,7448.257931,68.96535121,11078.28716,1846.381193,17.09612216,
BAL5,no,dqn,10800,20,4,100,100,284,284,153.513714,414.6891883,39068.00417,6511.334028,60.29012989,13860.49116,2310.08186,21.38964685,
BAL5,no,dqn,10800,20,4,100,100,281,281,152.8108817,408.0256137,39267.19514,6544.532523,60.59752336,14780.7823,2463.463717,22.80984924,
BAL5,no,dqn,10800,20,4,100,100,297,297,148.6075843,406.5051228,41139.32355,6856.553926,63.48661042,13403.39309,2233.898849,20.6842486,
BAL5,no,dqn,10800,20,4,100,100,311,311,158.988228,412.1583955,42095.95549,7015.992582,64.96289428,12573.42949,2095.571582,19.40344057,
BAL5,no,dqn,10800,20,4,100,100,300,300,147.9378103,412.9821672,41330.78887,6888.464811,63.78208158,13536.63967,2256.106611,20.88987603,
BAL5,no,dqn,10800,20,4,100,100,279,279,139.2198628,419.5557443,39753.78408,6625.630681,61.34843223,14086.68845,2347.781409,21.73871675,
BAL5,no,dqn,10800,20,4,100,100,288,288,157.3339008,461.6753802,43036.10359,7172.683932,66.41374011,11508.48205,1918.080341,17.76000316,
BAL5,no,dqn,10800,20,4,100,100,275,275,153.7104791,411.7847377,36877.19977,6146.199962,56.90925891,15080.51882,2513.419803,23.27240558,
BAL5,no,dqn,10800,20,4,100,100,307,307,147.1884712,430.4426416,42993.25883,7165.543138,66.34762164,12140.60892,2023.43482,18.7355076,
BAL5,no,dqn,10800,20,4,100,100,292,292,152.0910952,414.2808587,41101.11245,6850.185408,63.42764267,13101.61461,2183.602435,20.21854107,
BAL5,no,dqn,10800,20,4,100,100,325,325,153.7027773,437.4253489,46443.10129,7740.516881,71.6714526,10575.567,1762.5945,16.32031945,
BAL5,no,dqn,10800,20,4,100,100,282,282,145.7678214,391.5913582,36351.40235,6058.567059,56.09784314,16450.71507,2741.785845,25.38690597,
BAL5,no,dqn,10800,20,4,100,100,295,295,147.0798826,390.7565571,40480.2077,6746.701284,62.46945633,14339.28345,2389.880575,22.12852384,
BAL5,no,dqn,10800,20,4,100,100,300,300,141.9226471,434.2924415,43014.49544,7169.082573,66.3803942,12276.6293,2046.104883,18.94541558,
BAL5,no,dqn,10800,20,4,100,100,291,291,146.1291819,394.1923149,39787.34451,6631.224084,61.400223,14178.69927,2363.116546,21.88070876,
BAL5,no,dqn,10800,20,4,100,100,258,258,147.5052066,402.8181541,38055.90553,6342.650922,58.72824928,15542.81096,2590.468493,23.98581938,
BAL5,no,dqn,10800,20,4,100,100,314,314,155.3623525,403.2840222,42434.56901,7072.428168,65.485446,12448.39814,2074.733024,19.21049096,
BAL5,no,dqn,10800,20,4,100,100,286,286,145.0436714,407.8560015,38966.8275,6494.47125,60.13399306,14558.58006,2426.43001,22.46694454,
BAL5,no,dqn,10800,20,4,100,100,290,290,151.9088604,425.9800767,40087.6557,6681.275951,61.86366621,14421.79841,2403.633069,22.25586175,
